EA_Region,SamplingPoint,Name,Map_Category,Easting,Northing,Permit_No,Permit_Ver,Feature_Name,Outlet_no,LAT,LONG,Feature_ID,EUBWID,Feature_Version
WA,37300,Caswell Bay,Emergency or Storm Overflow,259284,187650,BE0022301,2.00,Caswell PS Emergency only,1,51.5701000000000,-4.03180000000000,ID-BE0022301-2.00-1,UKL1800      37300,1
WA,37300,Caswell Bay,Treated Sewage Works Outfall,258560,187287,BP0054601,7.00,BISHOPSTON SEWAGE TREATMENT WKS,1,51.5666000000000,-4.04210000000000,FE-BP0054601-7-1,UKL1800      37300,1
WA,37600,Rhossili,River or Stream,241111,191171,,,Beach Stream - Dilis Lake,,51.5969000000000,-4.29540000000000,FI-241111-191171,UKL1800      37600,1
WA,37900,Amroth Central,Emergency or Storm Overflow,216668,207077,BP00346101,1.00,AMROTH CAR PARK PS AMROTH PEMBRO,1,51.7323000000000,-4.65630000000000,ID-BP00346101-1.00-1,UKL1403      37900,1
WA,38000,Saundersfoot,Emergency or Storm Overflow,213820,204340,BP0112501,1.00,THE GLEN SAUNDERSFOOT PS   . .,1,51.7068000000000,-4.69610000000000,ID-BP0112501-1.00-1,UKL1403      38000,1
WA,38000,Saundersfoot,Emergency or Storm Overflow,214100,204700,BP0251802,2.00,SAUNDERSFOOT STW/PS   SAUNDERSFO,1,51.7101000000000,-4.69220000000000,ID-BP0251802-2.00-1,UKL1403      38000,1
WA,38000,Saundersfoot,River or Stream,213683,204680,,,Saunderfoot stream,,51.7098000000000,-4.69820000000000,FI-213683-204680,UKL1403      38000,1
WA,38000,Saundersfoot,River or Stream,213949,205233,,,Surface water stream,,51.7149000000000,-4.69470000000000,FI-213949-205233,UKL1403      38000,1
WA,38000,Saundersfoot,Treated Sewage Works Outfall,214100,204700,BG0025901,1.00,SAUNDERSFOOT STW/PS   SAUNDERSFO,1,51.7101000000000,-4.69220000000000,FE-BG0025901-1-1,UKL1403      38000,1
WA,38100,Tenby North,Emergency or Storm Overflow,213730,200560,BP0112701,2.00,TENBY EAST PS,1,51.6728000000000,-4.69530000000000,ID-BP0112701-2.00-1,UKL1403      38100,1
WA,38100,Tenby North,Emergency or Storm Overflow,213800,200570,BP0116901,2.00,TENBY LIFEBOAT CSO CASTLE SQ TEN,1,51.6729000000000,-4.69430000000000,ID-BP0116901-2.00-1,UKL1403      38100,1
WA,38230,Manorbier,Emergency or Storm Overflow,205800,197300,BP0168901,1.00,MANORBIER TRANSFER PS MANORBIER,1,51.6408000000000,-4.80810000000000,ID-BP0168901-1.00-1,UKL1403      38230,1
WA,38235,Freshwater East,Emergency or Storm Overflow,201550,197750,BP0060302,3.00,FRESHWATER OUTFALL PUMPING STATI,1,51.6434000000000,-4.86970000000000,ID-BP0060302-3.00-1,UKL1403      38235,1
WA,38260,Dale,Treated Sewage Works Outfall,181470,205560,BP0064001,3.00,DALE WWTW DALE MILFORD HAVEN PEM,1,51.7061000000000,-5.16430000000000,FE-BP0064001-3-1,UKL1403      38260,1
WA,38300,Broad Haven (Central),Emergency or Storm Overflow,186090,213690,BP026870101,1.00,BROADHAVEN SOUTH PS   BROADHAVEN,1,51.7808000000000,-5.10260000000000,ID-BP026870101-1.00-1,UKL1403      38300,1
WA,38400,Newgale,Surface Water Outfall,184307,222898,,,Surface Water Drain,,51.8628000000000,-5.13410000000000,WO-184307-222898,UKL1403      38400,1
WA,38400,Newgale,Treated Sewage Works Outfall,185643,222280,BP0324301,1.00,Newgale Sewer Treament works and,1,51.8578000000000,-5.11430000000000,FE-BP0324301-1-1,UKL1403      38400,1
WA,38460,Caerfai,River or Stream,175937,224308,,,Small beach stream,,51.8722000000000,-5.25640000000000,FI-175937-224308,UKL1403      38460,1
WA,38460,Caerfai,River or Stream,176168,224342,,,Small beach stream,,51.8726000000000,-5.25300000000000,FI-176168-224342,UKL1403      38460,1
WA,38600,Newport North,Emergency or Storm Overflow,204350,240350,BP0296401,2.00,CWM SEWAGE PUMPING STATION,1,52.0269000000000,-4.85330000000000,ID-BP0296401-2.00-1,UKL1403      38600,1
WA,38600,Newport North,Emergency or Storm Overflow,205130,239450,BP0208401,3.00,THE PARROG NEWPORT SWO,1,52.0191000000000,-4.84150000000000,ID-BP0208401-3.00-1,UKL1403      38600,1
WA,38600,Newport North,River or Stream,203853,239880,,,Small beach stream,,52.0225000000000,-4.86030000000000,FI-203853-239880,UKL1403      38600,1
WA,38600,Newport North,River or Stream,204554,239846,,,Small beach stream,,52.0225000000000,-4.85010000000000,FI-204554-239846,UKL1403      38600,1
WA,38600,Newport North,River or Stream,205355,241066,,,,,52.0337000000000,-4.83910000000000,FI-205355-241066,UKL1403      38600,1
WA,38600,Newport North,River or Stream,205399,241075,,,Small beach stream,,52.0338000000000,-4.83850000000000,FI-205399-241075,UKL1403      38600,1
WA,38600,Newport North,Treated Sewage Works Outfall,204350,240351,BP0208501,2.00,LWR MARY ST NEWPORT SWO,1,52.0269000000000,-4.85330000000000,FE-BP0208501-2-1,UKL1403      38600,1
WA,38630,Poppit West,River or Stream,214278,249243,,,Tertiary River,,52.1102000000000,-4.71360000000000,FI-214278-249243,UKL1402      38630,1
WA,38630,Poppit West,River or Stream,214371,249110,,,Tertiary River,,52.1091000000000,-4.71220000000000,FI-214371-249110,UKL1402      38630,1
WA,38630,Poppit West,River or Stream,214900,248873,,,Tertiary River,,52.1071000000000,-4.70440000000000,FI-214900-248873,UKL1402      38630,1
WA,38630,Poppit West,River or Stream,215903,249461,,,Tertiary River,,52.1127000000000,-4.69010000000000,FI-215903-249461,UKL1402      38630,1
WA,38630,Poppit West,Treated Sewage Works Outfall,215900,248600,BN0098801,1.00,POPPIT SANDS HOLDAY DEVMT,1,52.1050000000000,-4.68960000000000,FE-BN0098801-1-1,UKL1402      38630,1
WA,38630,Poppit West,Treated Sewage Works Outfall,215934,248626,BP0306301,1.00,PATCH CARAVAN PARK GWBERT CARDIG,1,52.1052000000000,-4.68920000000000,FE-BP0306301-1-1,UKL1402      38630,1
WA,38630,Poppit West,Treated Sewage Works Outfall,216150,248640,BP0023401,2.00,64 CARAVANS PATCH CARAVAN SITE G,1,52.1054000000000,-4.68600000000000,FE-BP0023401-2-1,UKL1402      38630,1
WA,38640,Mwnt,River or Stream,219150,251729,,,,,52.1342000000000,-4.64390000000000,FI-219150-251729,UKL1402      38640,1
WA,38640,Mwnt,River or Stream,219395,251866,,,,,52.1355000000000,-4.64040000000000,FI-219395-251866,UKL1402      38640,1
WA,38640,Mwnt,Treated Sewage Works Outfall,219400,251600,BK0103101,1.00,DIS. FROM MWNT PUBLIC TOILET,1,52.1331000000000,-4.64020000000000,FE-BK0103101-1-1,UKL1402      38640,1
WA,38675,Penbryn,River or Stream,229265,252430,,,,,52.1437000000000,-4.49660000000000,FI-229265-252430,UKL1402      38675,1
WA,38675,Penbryn,Treated Sewage Works Outfall,230100,252000,BN0114301,1.00,MANORAFON C/Pk SARNAU,1,52.1401000000000,-4.48420000000000,FE-BN0114301-1-1,UKL1402      38675,1
WA,38675,Penbryn,Treated Sewage Works Outfall,230180,252140,BP0006601,2.00,MAESGLAS C/Pk PENBRYN,1,52.1413000000000,-4.48310000000000,FE-BP0006601-2-1,UKL1402      38675,1
WA,38680,Llangrannog,Treated Sewage Works Outfall,230890,254242,BP0062301,5.00,LLANGRANOG WWTW LLANGRANOG,1,52.1604000000000,-4.47380000000000,FE-BP0062301-5-1,UKL1402      38680,1
WA,38685,Cilborth,Emergency or Storm Overflow,230890,254242,BP0110901,2.00,"SHIP INN C/P SPS, LLANGRANOG",1,52.1604000000000,-4.47380000000000,ID-BP0110901-2.00-1,UKL1402      38685,1
WA,38685,Cilborth,River or Stream,230973,254173,,,,,52.1599000000000,-4.47250000000000,FI-230973-254173,UKL1402      38685,1
WA,38685,Cilborth,River or Stream,231070,254196,,,,,52.1601000000000,-4.47110000000000,FI-231070-254196,UKL1402      38685,1
WA,38685,Cilborth,Treated Sewage Works Outfall,230890,254242,BP0062301,7.00,LLANGRANOG WWTW FE,1,52.1604000000000,-4.47380000000000,FE-BP0062301-7-1,UKL1402      38685,1
WA,38685,Cilborth,Treated Sewage Works Outfall,230912,254053,NPSWQD006922,2.00,SMUGGLERS REST (SDP),1,52.1588000000000,-4.47340000000000,FE-NPSWQD006922-2-1,UKL1402      38685,1
WA,38688,New Quay North,Emergency or Storm Overflow,238885,260230,BP0061001,4.00,ROCK STREET SPS NEW QUAY,1,52.2166000000000,-4.35990000000000,ID-BP0061001-4.00-1,UKL1402      38688,1
WA,38688,New Quay North,Emergency or Storm Overflow,238935,260104,BP0337301,1.00,CHIP SHOP CSO,1,52.2155000000000,-4.35910000000000,ID-BP0337301-1.00-1,UKL1402      38688,1
WA,38688,New Quay North,Emergency or Storm Overflow,238935,260104,BP0337501,1.00,CSO800 (CHURCH ST.),1,52.2155000000000,-4.35910000000000,ID-BP0337501-1.00-1,UKL1402      38688,1
WA,38688,New Quay North,Emergency or Storm Overflow,238935,260104,BP0337601,1.00,CSO 790 (Jnc CHURCH ST / HIL,1,52.2155000000000,-4.35910000000000,ID-BP0337601-1.00-1,UKL1402      38688,1
WA,38688,New Quay North,Emergency or Storm Overflow,239008,260043,BP0337401,1.00,CSO (900) SOUTH JOHN STREET,1,52.2150000000000,-4.35800000000000,ID-BP0337401-1.00-1,UKL1402      38688,1
WA,38688,New Quay North,River or Stream,239007,259815,,,,,52.2129000000000,-4.35790000000000,FI-239007-259815,UKL1402      38688,1
WA,38688,New Quay North,Surface Water Outfall,238950,260123,,,Old Stone Culvert,,52.2157000000000,-4.35890000000000,WO-238950-260123,UKL1402      38688,1
WA,38688,New Quay North,Treated Sewage Works Outfall,238750,260450,BP0267601,1.00,QUAY FRESH & FROZEN FOODS,1,52.2186000000000,-4.36190000000000,FE-BP0267601-1-1,UKL1402      38688,1
WA,38690,New Quay Harbour,Emergency or Storm Overflow,239008,260043,BP0337401,1.00,CSO SOUTH JOHN STREET NEW QUAY,1,52.2150000000000,-4.35800000000000,ID-BP0337401-1.00-1,UKL1402      38690,1
WA,38750,Llanrhystud,Emergency or Storm Overflow,251010,269520,BP0111101,2.00,LLANNON CSO,1,52.3035000000000,-4.18660000000000,ID-BP0111101-2.00-1,UKL1402      38750,1
WA,38750,Llanrhystud,Emergency or Storm Overflow,253221,269410,BN0160302,3.00,LLANRHYSTUD WWTW SPS Stm/Em,1,52.3031000000000,-4.15420000000000,ID-BN0160302-3.00-1,UKL1402      38750,1
WA,38750,Llanrhystud,Emergency or Storm Overflow,254160,269780,BP0294401,1.00,SPS MAES WYRE,1,52.3067000000000,-4.14060000000000,ID-BP0294401-1.00-1,UKL1402      38750,1
WA,38750,Llanrhystud,River or Stream,251920,268389,,,,,52.2936000000000,-4.17280000000000,FI-251920-268389,UKL1402      38750,1
WA,38750,Llanrhystud,River or Stream,252246,268735,,,,,52.2968000000000,-4.16820000000000,FI-252246-268735,UKL1402      38750,1
WA,38750,Llanrhystud,River or Stream,252690,269742,,,,,52.3060000000000,-4.16210000000000,FI-252690-269742,UKL1402      38750,1
WA,38750,Llanrhystud,Treated Sewage Works Outfall,252740,268350,BP0143201,2.00,PLAS GWYN LLANRHYSTUD (SDP),1,52.2935000000000,-4.16080000000000,FE-BP0143201-2-1,UKL1402      38750,1
WA,38750,Llanrhystud,Treated Sewage Works Outfall,253700,269600,BN0284701,1.00,CONVERTED OUTBUILDINGS TAN-L,1,52.3050000000000,-4.14720000000000,FE-BN0284701-1-1,UKL1402      38750,1
WA,38750,Llanrhystud,Treated Sewage Works Outfall,254400,269900,BN0270001,1.00,WYDDGRUG (SDP),1,52.3078000000000,-4.13710000000000,FE-BN0270001-1-1,UKL1402      38750,1
WA,39050,Aberdyfi,Emergency or Storm Overflow,261530,295950,CG0351301,2.00,"ABERDYFI WHARF PS, SEAVIEW TERRA",1,52.5437000000000,-4.04340000000000,ID-CG0351301-2.00-1,UKL1200      39050,1
WA,39200,Fairbourne,Emergency or Storm Overflow,260737,313575,CG0413701,1.00,FAIRBOURNE WWTW STORM TANKS,1,52.7019000000000,-4.06250000000000,ID-CG0413701-1.00-1,UKL1200      39200,1
WA,39200,Fairbourne,Treated Sewage Works Outfall,260736,313574,CG0138301,4.00,FAIRBOURNE WWTW,1,52.7019000000000,-4.06250000000000,FE-CG0138301-4-1,UKL1200      39200,1
WA,39300,Barmouth,Emergency or Storm Overflow,259000,315702,CG0431501,1.00,BARMOUTH WwTW,1,52.7205000000000,-4.08910000000000,ID-CG0431501-1.00-1,UKL1200      39300,1
WA,39300,Barmouth,Emergency or Storm Overflow,260420,316379,CG0434001,1.00,BARMOUTH WwTW via Heol Idris,1,52.7270000000000,-4.06840000000000,ID-CG0434001-1.00-1,UKL1200      39300,1
WA,39300,Barmouth,Emergency or Storm Overflow,260420,316380,CG0129901,2.00,Barmouth WwTW to MLWS,1,52.7270000000000,-4.06840000000000,ID-CG0129901-2.00-1,UKL1200      39300,1
WA,39300,Barmouth,Treated Sewage Works Outfall,259000,315700,CG0129801,3.00,BARMOUTH WwTW via LSO,1,52.7205000000000,-4.08910000000000,FE-CG0129801-3-1,UKL1200      39300,1
WA,39400,Llandanwg,Emergency or Storm Overflow,256705,328484,CG0430201,1.00,LLANDANWG TERMINAL PS,1,52.8347000000000,-4.12870000000000,ID-CG0430201-1.00-1,UKL1200      39400,1
WA,39500,Harlech,Emergency or Storm Overflow,256549,331665,CG0430301,1.00,HARLECH TERMINAL PS (OUTFALL A),1,52.8633000000000,-4.13240000000000,ID-CG0430301-1.00-1,UKL1200      39500,1
WA,39700,Criccieth,Emergency or Storm Overflow,250160,338050,CG0341501,1.00,CSO ON SEWER (CRICCIETH BEACH),1,52.9189000000000,-4.23020000000000,ID-CG0341501-1.00-1,UKL1200      39700,1
WA,39700,Criccieth,Emergency or Storm Overflow,250170,338010,CG0356801,1.00,CRICCIETH HEN FELIN CSO,1,52.9185000000000,-4.23000000000000,ID-CG0356801-1.00-1,UKL1200      39700,1
WA,39800,Pwllheli,Treated Sewage Works Outfall,238543,334323,CG0362401,2.00,PWLLHELI STW  GIMBLET ROCK SITE,1,52.8821000000000,-4.40090000000000,FE-CG0362401-2-1,UKL1200      39800,1
WA,39950,Aberdaron,Emergency or Storm Overflow,217100,326400,CG0150701,2.00,ABERDARON PS,1,52.8040000000000,-4.71480000000000,ID-CG0150701-2.00-1,UKL1200      39950,1
WA,39950,Aberdaron,Emergency or Storm Overflow,217150,326430,CG0073401,1.00,ABERDARON PUMPIMG STATION,1,52.8043000000000,-4.71410000000000,ID-CG0073401-1.00-1,UKL1200      39950,1
WA,39950,Aberdaron,Emergency or Storm Overflow,217251,326428,CG0108201,5.00,ABERDARON WASTEWATER TREATME,1,52.8043000000000,-4.71260000000000,ID-CG0108201-5.00-1,UKL1200      39950,1
WA,39950,Aberdaron,River or Stream,216758,326311,,,,,52.8031000000000,-4.71980000000000,FI-216758-326311,UKL1200      39950,1
WA,39950,Aberdaron,River or Stream,217073,326361,,,,,52.8037000000000,-4.71520000000000,FI-217073-326361,UKL1200      39950,1
WA,39985,Aberffraw,Emergency or Storm Overflow,235523,368721,CG0406201,1.00,"ABERFFRAW SPS, Glan y Mor",1,53.1901000000000,-4.46330000000000,ID-CG0406201-1.00-1,UKL1100      39985,1
WA,39990,Rhosneigr,Emergency or Storm Overflow,231330,372221,CG038300101,1.00,RHOSNEIGR SPS  RHOSNEIGR,1,53.2202000000000,-4.52790000000000,ID-CG038300101-1.00-1,UKL1100      39990,1
WA,39990,Rhosneigr,Emergency or Storm Overflow,231600,372600,CG0144402,1.00,RHOSNEIGR STW (SETTLED STORM/EME,1,53.2237000000000,-4.52400000000000,ID-CG0144402-1.00-1,UKL1100      39990,1
WA,39990,Rhosneigr,Surface Water Outfall,232140,372704,CG0160501,1.00,THE BUNGALOW LAKESIDE RHOSNEIGR,1,53.2248000000000,-4.51600000000000,WO-232140-372704,UKL1100      39990,1
WA,39990,Rhosneigr,Treated Sewage Works Outfall,231330,372220,CG0144401,9.00,RHOSNEIGR WWTW (STW) ANGLESEY,1,53.2202000000000,-4.52790000000000,FE-CG0144401-9-1,UKL1100      39990,1
WA,40100,Benllech,Emergency or Storm Overflow,252560,382800,CG0341901,1.00,WENDON CAR PARK PS BENLLECH,1,53.3215000000000,-4.21510000000000,ID-CG0341901-1.00-1,UKL1100      40100,1
WA,40170,Llanfairfechan,Emergency or Storm Overflow,267600,375000,CG0184301,2.00,LLANFAIRFECHAN HOSPITAL SPS,1,53.2554000000000,-3.98620000000000,ID-CG0184301-2.00-1,UKL1301      40170,1
WA,40170,Llanfairfechan,Emergency or Storm Overflow,268000,375100,CG0162201,2.00,LLANFAIRFECHAN - SSO,1,53.2564000000000,-3.98020000000000,ID-CG0162201-2.00-1,UKL1301      40170,1
WA,40180,Penmaenmawr,Emergency or Storm Overflow,272240,377190,CG0148301,3.00,PENMAENMAWR PROMENADE PS,1,53.2762000000000,-3.91750000000000,ID-CG0148301-3.00-1,UKL1301      40180,1
WA,40200,Llandudno West Shore,Emergency or Storm Overflow,275690,382500,CG0142301,1.00,WEST SHORE PS ABBEY ROAD LLANDUD,1,53.3248000000000,-3.86790000000000,ID-CG0142301-1.00-1,UKL1301      40200,1
WA,40200,Llandudno West Shore,Emergency or Storm Overflow,277280,381720,CG0127301,1.00,RHOSLAN PS RHOSLAN LLANDUDNO,1,53.3181000000000,-3.84370000000000,ID-CG0127301-1.00-1,UKL1301      40200,1
WA,40200,Llandudno West Shore,Treated Sewage Works Outfall,276300,382500,CG0136901,2.00,Y FRON GOGARTH LLANDUDNO,1,53.3249000000000,-3.85880000000000,FE-CG0136901-2-1,UKL1301      40200,1
WA,40200,Llandudno West Shore,Treated Sewage Works Outfall,276440,382400,CG0141102,1.00,FRON DAWEL & CARTREFLE MARINE DR,1,53.3241000000000,-3.85660000000000,FE-CG0141102-1-1,UKL1301      40200,1
WA,40300,Llandudno North Shore,Treated Sewage Works Outfall,279290,382260,CG0137901,2.00,NORTH SHORE,1,53.3234000000000,-3.81380000000000,FE-CG0137901-2-1,UKL1301      40300,1
WA,40400,Colwyn Bay,Emergency or Storm Overflow,284880,379690,CG0139301,3.00,MARINE RD CSO MARINE RD COLWYN B,1,53.3016000000000,-3.72900000000000,ID-CG0139301-3.00-1,UKL1301      40400,1
WA,40400,Colwyn Bay,Emergency or Storm Overflow,286990,378850,CG0139401,3.00,BEACH ROAD CSO BEACH RD COLWYN B,1,53.2945000000000,-3.69700000000000,ID-CG0139401-3.00-1,UKL1301      40400,1
WA,40400,Colwyn Bay,Emergency or Storm Overflow,287400,378700,CG0166101,2.00,OLD COLWYN QUEENS ROAD - SSO,1,53.2932000000000,-3.69080000000000,ID-CG0166101-2.00-1,UKL1301      40400,1
WA,40450,Abergele (Pensarn),Emergency or Storm Overflow,295200,379300,CM0153801,4.00,Pensarn Sewage Pumping Stati,1,53.3002000000000,-3.57410000000000,ID-CM0153801-4.00-1,UKL1301      40450,1
WA,40450,Abergele (Pensarn),River or Stream,293984,378607,,,,,53.2938000000000,-3.59200000000000,FI-293984-378607,UKL1301      40450,1
WA,40450,Abergele (Pensarn),Surface Water Outfall,294235,378644,,,,,53.2942000000000,-3.58830000000000,WO-294235-378644,UKL1301      40450,1
WA,40450,Abergele (Pensarn),Treated Sewage Works Outfall,295680,378550,CM0081301,1.00,ABERGELE BELGRANO RESIDENTIA,1,53.2936000000000,-3.56660000000000,FE-CM0081301-1-1,UKL1301      40450,1
WA,40500,Kinmel Bay (Sandy Cove),Emergency or Storm Overflow,298000,380300,CM0154001,6.00,COVENTRY CAMP SPS STORM,1,53.3098000000000,-3.53240000000000,ID-CM0154001-6.00-1,UKL1301      40500,1
WA,40600,Rhyl,Emergency or Storm Overflow,299871,380989,CG0429601,1.00,Westbourne Avenue CSO No. 2,1,53.3163000000000,-3.50450000000000,ID-CG0429601-1.00-1,UKL1302      40600,1
WA,40600,Rhyl,Emergency or Storm Overflow,299871,380990,CM0044001,4.00,WESTBOURNE AVENUE PUMPING STATIO,1,53.3163000000000,-3.50450000000000,ID-CM0044001-4.00-1,UKL1302      40600,1
WA,40600,Rhyl,Emergency or Storm Overflow,299871,380991,CG0429501,1.00,Westbourne Avenue CSO No. 1,1,53.3163000000000,-3.50450000000000,ID-CG0429501-1.00-1,UKL1302      40600,1
WA,40600,Rhyl,Emergency or Storm Overflow,302933,382490,CM0051301,1.00,COAST ROAD PS   RHYL,1,53.3304000000000,-3.45900000000000,ID-CM0051301-1.00-1,UKL1302      40600,1
WA,36600,Sandy Bay Porthcawl,Surface Water Outfall,281950,176550,,,,,51.4755000000000,-3.70120000000000,WO-281950-176550,UKL1701      36600,1
WA,38000,Saundersfoot,Emergency or Storm Overflow,214271,204567,BP0251803,2.00,SAUNDERSFOOT STW/PS   SAUNDERSFO,1,51.7090000000000,-4.68960000000000,ID-BP0251803-2.00-1,UKL1403      38000,1
WA,38400,Newgale,Treated Sewage Works Outfall,185550,222318,BH0055701,6.00,NEWGALE STW,1,51.8581000000000,-5.11570000000000,UKL1403_38400-ID-185550-222318,UKL1403      38400,1
WA,38630,Poppit West,River or Stream,215908,249081,,,Tertiary River,,52.1093000000000,-4.68980000000000,FI-215908-249081,UKL1402      38630,1
WA,38630,Poppit West,Treated Sewage Works Outfall,216200,248600,BP0006101,1.00,PATCH CARAVAN PARK GWBERT CARDIG,1,52.1051000000000,-4.68530000000000,FE-BP0006101-1-1,UKL1402      38630,1
WA,40300,Llandudno North Shore,Surface Water Outfall,279290,382260,,,Washington Outfall,,53.3234000000000,-3.81380000000000,WO-279290-382260,UKL1301      40300,1
WA,38660,Aberporth,Emergency or Storm Overflow,225830,251370,BP0167301,5.00,ABERPORTH P.S. SSO NO.1,1,52.1331000000000,-4.54620000000000,ID-BP0167301-5.00-1,UKL1402      38660,1
WA,38660,Aberporth,Emergency or Storm Overflow,225660,251520,BP0167401,2.00,ABERPORTH P.S. SSO,1,52.1344000000000,-4.54880000000000,ID-BP0167401-2.00-1,UKL1402      38660,1
WA,38660,Aberporth,Treated Sewage Works Outfall,226600,251520,BP0237901,3.00,ABERPORTH STW,1,52.1347000000000,-4.53510000000000,FE-BP0237901-3-1,UKL1402      38660,1
WA,38660,Aberporth,Emergency or Storm Overflow,226090,251650,BP0238301,1.00,ABERPORTH HEADLAND PS ABERPORTH,1,52.1357000000000,-4.54260000000000,ID-BP0238301-1.00-1,UKL1402      38660,1
WA,38800,Aberystwyth South,Emergency or Storm Overflow,258260,281285,BP0061601,2.00,CSO PONT ABERYSTWYTH,1,52.4111000000000,-4.08530000000000,ID-BP0061601-2.00-1,UKL1402      38800,1
WA,38800,Aberystwyth South,Emergency or Storm Overflow,258227,281336,BP0067601,2.00,TAN Y CAE PUMPING STATION,1,52.4116000000000,-4.08590000000000,ID-BP0067601-2.00-1,UKL1402      38800,1
WA,38800,Aberystwyth South,Emergency or Storm Overflow,258000,280910,BP0061401,4.00,ST DAVIDS WHARF PS ABERYSTWYTH,1,52.4077000000000,-4.08900000000000,ID-BP0061401-4.00-1,UKL1402      38800,1
WA,38920,Clarach South,Emergency or Storm Overflow,258900,283770,BP0254201,1.00,PS AT CLARACH BAY HOL VILLAGE,1,52.4336000000000,-4.07700000000000,ID-BP0254201-1.00-1,UKL1402      38920,1
WA,37800,Pendine,Treated Sewage Works Outfall,224700,208000,BJ0084201,2.00,PENDINE STW,1,51.7432000000000,-4.54060000000000,FE-BJ0084201-2-1,UKL1401      37800,1
WA,37800,Pendine,Emergency or Storm Overflow,225000,207900,BJ0084202,2.00,PENDINE STW,1,51.7424000000000,-4.53620000000000,ID-BJ0084202-2.00-1,UKL1401      37800,1
WA,37700,Pembrey,Treated Sewage Works Outfall,241515,199947,BP0328501,1.00,PEMBREY WWTW PEMBREY,1,51.6758000000000,-4.29360000000000,FE-BP0328501-1-1,UKL1401      37700,1
WA,38670,Tresaith,Emergency or Storm Overflow,227600,251590,BP0110301,2.00,TRESAITH,1,52.1356000000000,-4.52050000000000,ID-BP0110301-2.00-1,UKL1402      38670,1
WA,38700,Traeth Gwyn New Quay,Treated Sewage Works Outfall,240350,259570,BP0228101,1.00,LLANINA STW NEW QUAY,1,52.2111000000000,-4.33810000000000,FE-BP0228101-1-1,UKL1402      38700,1
WA,36700,Rest Bay Porthcawl,Emergency or Storm Overflow,281053,176745,,,,,51.4771000000000,-3.71420000000000,UKL1701_36700-ID-281053-176745,UKL1701      36700,1
WA,36700,Rest Bay Porthcawl,Emergency or Storm Overflow,281183,176454,BP0064401,3.00,IRONGATE PS PORTCAWL BRIDGEND,1,51.4745000000000,-3.71220000000000,ID-BP0064401-3.00-1,UKL1701      36700,1
WA,36600,Sandy Bay Porthcawl,Emergency or Storm Overflow,283598,176200,BP0064403,2.00,Beach Road Pumping Station,1,51.4727000000000,-3.67740000000000,ID-BP0064403-2-1,UKL1701      36600,1
WA,36600,Sandy Bay Porthcawl,Emergency or Storm Overflow,281183,176454,BP0064401,3.00,IRONGATE PS PORTCAWL BRIDGEND,1,51.4745000000000,-3.71220000000000,ID-BP0064401-3.00-1,UKL1701      36600,1
WA,36400,Southerndown,River or Stream,288450,173153,,,,,51.4463000000000,-3.60660000000000,FI-288450-173153,UKL2202      36400,1
WA,36900,Swansea Bay,River or Stream,263528,191856,,,,,51.6089000000000,-3.97230000000000,FI-263528-191856,UKL1800      36900,1
